experiment_name,dataset,scale,resolution_inferred,variant,seed,summary_path,checkpoint_path_inferred,checkpoint_exists,parameter_count_summary,quality_metric_value,quality_metric_source_keys,included_for_deployment,notes
burgers_fno_base_modes12_seed1,burgers,base,[2048],modes12,1,artifacts/summaries/burgers_fno_base_modes12_seed1_summary.json,artifacts/checkpoints/burgers_fno_base_modes12_seed1_best.pt,True,124945,,test_rel_l2|test_relative_l2|rel_l2|relative_l2|test_loss|best_val_loss|val_loss|best_metric,True,Use this as validity gate; verify exact metric name from training config before final manuscript.
burgers_fno_base_modes16_seed2,burgers,base,[2048],modes16,2,artifacts/summaries/burgers_fno_base_modes16_seed2_summary.json,artifacts/checkpoints/burgers_fno_base_modes16_seed2_best.pt,True,161809,,test_rel_l2|test_relative_l2|rel_l2|relative_l2|test_loss|best_val_loss|val_loss|best_metric,True,Use this as validity gate; verify exact metric name from training config before final manuscript.
burgers_fno_base_modes32_seed1,burgers,base,[2048],modes32,1,artifacts/summaries/burgers_fno_base_modes32_seed1_summary.json,artifacts/checkpoints/burgers_fno_base_modes32_seed1_best.pt,True,309265,,test_rel_l2|test_relative_l2|rel_l2|relative_l2|test_loss|best_val_loss|val_loss|best_metric,True,Use this as validity gate; verify exact metric name from training config before final manuscript.
burgers_fno_base_nocoords_seed0,burgers,base,[2048],nocoords,0,artifacts/summaries/burgers_fno_base_nocoords_seed0_summary.json,artifacts/checkpoints/burgers_fno_base_nocoords_seed0_best.pt,True,235489,,test_rel_l2|test_relative_l2|rel_l2|relative_l2|test_loss|best_val_loss|val_loss|best_metric,True,Use this as validity gate; verify exact metric name from training config before final manuscript.
burgers_fno_base_pad0_seed1,burgers,base,[2048],pad0,1,artifacts/summaries/burgers_fno_base_pad0_seed1_summary.json,artifacts/checkpoints/burgers_fno_base_pad0_seed1_best.pt,True,235537,,test_rel_l2|test_relative_l2|rel_l2|relative_l2|test_loss|best_val_loss|val_loss|best_metric,True,Use this as validity gate; verify exact metric name from training config before final manuscript.
burgers_fno_base_pad40_seed1,burgers,base,[2048],pad40,1,artifacts/summaries/burgers_fno_base_pad40_seed1_summary.json,artifacts/checkpoints/burgers_fno_base_pad40_seed1_best.pt,True,235537,,test_rel_l2|test_relative_l2|rel_l2|relative_l2|test_loss|best_val_loss|val_loss|best_metric,True,Use this as validity gate; verify exact metric name from training config before final manuscript.
burgers_fno_base_r1024_seed0,burgers,base,[1024],resolution_scaling,0,artifacts/summaries/burgers_fno_base_r1024_seed0_summary.json,artifacts/checkpoints/burgers_fno_base_r1024_seed0_best.pt,True,235537,,test_rel_l2|test_relative_l2|rel_l2|relative_l2|test_loss|best_val_loss|val_loss|best_metric,True,Use this as validity gate; verify exact metric name from training config before final manuscript.
burgers_fno_base_r2048_seed2,burgers,base,[2048],resolution_scaling,2,artifacts/summaries/burgers_fno_base_r2048_seed2_summary.json,artifacts/checkpoints/burgers_fno_base_r2048_seed2_best.pt,True,235537,,test_rel_l2|test_relative_l2|rel_l2|relative_l2|test_loss|best_val_loss|val_loss|best_metric,True,Use this as validity gate; verify exact metric name from training config before final manuscript.
burgers_fno_base_r4096_seed0,burgers,base,[4096],resolution_scaling,0,artifacts/summaries/burgers_fno_base_r4096_seed0_summary.json,artifacts/checkpoints/burgers_fno_base_r4096_seed0_best.pt,True,235537,,test_rel_l2|test_relative_l2|rel_l2|relative_l2|test_loss|best_val_loss|val_loss|best_metric,True,Use this as validity gate; verify exact metric name from training config before final manuscript.
burgers_fno_base_r512_seed2,burgers,base,[512],resolution_scaling,2,artifacts/summaries/burgers_fno_base_r512_seed2_summary.json,artifacts/checkpoints/burgers_fno_base_r512_seed2_best.pt,True,235537,,test_rel_l2|test_relative_l2|rel_l2|relative_l2|test_loss|best_val_loss|val_loss|best_metric,True,Use this as validity gate; verify exact metric name from training config before final manuscript.
