dataset,mode,precision_mode,failure_class,example_tag,example_error,json_path
,,,other_runtime_failure,fno_burgers_tf32_vs_fp32_perturb,,results/jetson_fno_precision/fno_burgers_tf32_vs_fp32_perturb.json
,eager,bf16_autocast,fft_bf16_unsupported,burgers_fno_base_modes12_seed1_eager_bf16_autocast,Unsupported dtype BFloat16,results/jetson_fno_precision/burgers_fno_base_modes12_seed1_eager_bf16_autocast.json
,eager,fp16_autocast,dtype_mismatch,burgers_fno_base_pad0_seed1_eager_fp16_autocast,expected scalar type ComplexFloat but found ComplexHalf,results/jetson_fno_precision/burgers_fno_base_pad0_seed1_eager_fp16_autocast.json
,eager,fp16_autocast,fft_fp16_non_power_of_two_size_1048,burgers_fno_base_r1024_seed0_eager_fp16_autocast,"cuFFT only supports dimensions whose sizes are powers of two when computing in half precision, but got a signal size of[1048]",results/jetson_fno_precision/burgers_fno_base_r1024_seed0_eager_fp16_autocast.json
,eager,fp16_autocast,"fft_fp16_non_power_of_two_size_141, 141",darcy_fno_base_pad0_seed1_eager_fp16_autocast,"cuFFT only supports dimensions whose sizes are powers of two when computing in half precision, but got a signal size of[141, 141]",results/jetson_fno_precision/darcy_fno_base_pad0_seed1_eager_fp16_autocast.json
,eager,fp16_autocast,"fft_fp16_non_power_of_two_size_149, 149",darcy_fno_small_seed4_eager_fp16_autocast,"cuFFT only supports dimensions whose sizes are powers of two when computing in half precision, but got a signal size of[149, 149]",results/jetson_fno_precision/darcy_fno_small_seed4_eager_fp16_autocast.json
,eager,fp16_autocast,"fft_fp16_non_power_of_two_size_150, 150",darcy_fno_base_modes12_seed1_eager_fp16_autocast,"cuFFT only supports dimensions whose sizes are powers of two when computing in half precision, but got a signal size of[150, 150]",results/jetson_fno_precision/darcy_fno_base_modes12_seed1_eager_fp16_autocast.json
,eager,fp16_autocast,"fft_fp16_non_power_of_two_size_153, 153",darcy_fno_large_seed0_eager_fp16_autocast,"cuFFT only supports dimensions whose sizes are powers of two when computing in half precision, but got a signal size of[153, 153]",results/jetson_fno_precision/darcy_fno_large_seed0_eager_fp16_autocast.json
,eager,fp16_autocast,"fft_fp16_non_power_of_two_size_156, 156",darcy_fno_base_pad15_seed0_eager_fp16_autocast,"cuFFT only supports dimensions whose sizes are powers of two when computing in half precision, but got a signal size of[156, 156]",results/jetson_fno_precision/darcy_fno_base_pad15_seed0_eager_fp16_autocast.json
,eager,fp16_autocast,fft_fp16_non_power_of_two_size_2064,burgers_fno_small_seed2_eager_fp16_autocast,"cuFFT only supports dimensions whose sizes are powers of two when computing in half precision, but got a signal size of[2064]",results/jetson_fno_precision/burgers_fno_small_seed2_eager_fp16_autocast.json
